Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positiv_ Examples,Body_size,PCA_Body_size,Functional_variable
?a  hasQuestion  M003_01   , ?a  chosen_Answer_Code  8,0.010331315,0.188311688,0.188311688,58,308,308,?a
?a  hasQuestion  M005   , ?a  chosen_Answer_Code  2,0.016743855,0.305194805,0.305194805,94,308,308,?a
?a  hasQuestion  M002_01   , ?a  chosen_Answer_Code  8,0.012468828,0.227272727,0.227272727,70,308,308,?a
?a  hasQuestion  M010_01   , ?a  chosen_Answer_Code  8,0.010687567,0.194805195,0.194805195,60,308,308,?a
?a  hasQuestion  M005   , ?a  chosen_Answer_Code  1,0.030815818,0.561688312,0.561688312,173,308,308,?a
?a  hasQuestion  M004_01   , ?a  chosen_Answer_Code  8,0.011400071,0.207792208,0.207792208,64,308,308,?a
?a  hasQuestion  M006_01   , ?a  chosen_Answer_Code  8,0.01282508,0.233766234,0.233766234,72,308,308,?a
?a  hasQuestion  M010_01   , ?a  chosen_Answer_Code  9,0.014250089,0.25974026,0.25974026,80,308,308,?a
?a  hasQuestion  M006_01   , ?a  chosen_Answer_Code  9,0.014250089,0.25974026,0.25974026,80,308,308,?a
?a  hasQuestion  M002_01   , ?a  chosen_Answer_Code  9,0.011578197,0.211038961,0.211038961,65,308,308,?a
?a  hasQuestion  M003_01   , ?a  chosen_Answer_Code  9,0.010865693,0.198051948,0.198051948,61,308,308,?a
?a  hasQuestion  M004_01   , ?a  chosen_Answer_Code  9,0.011043819,0.201298701,0.201298701,62,308,308,?a
?b  hasAnswerId  ?a   , ?a  hasAnswerId  ?b,1,1,1,273,273,273,?a
?a  type  Response   , ?a  chosen_Answer_Code  5,0.164588529,0.164588529,0.164588529,924,5614,5614,?a
?a  ResponseOnPlatform  1   , ?a  chosen_Answer_Code  5,0.164588529,0.164588529,0.164588529,924,5614,5614,?a
?a  type  Response   , ?a  chosen_Answer_Code  4,0.171535447,0.171535447,0.171535447,963,5614,5614,?a
?a  ResponseOnPlatform  1   , ?a  chosen_Answer_Code  4,0.171535447,0.171535447,0.171535447,963,5614,5614,?a
?a  type  Response   , ?a  chosen_Answer_Code  NO_RECORDED_RESPONSE,0.199679373,0.199679373,0.199679373,1121,5614,5614,?a
?a  ResponseOnPlatform  1   , ?a  chosen_Answer_Code  NO_RECORDED_RESPONSE,0.199679373,0.199679373,0.199679373,1121,5614,5614,?a
?a  hasQuestion  M007_01   , ?a  chosen_Answer_Code  NO_RECORDED_RESPONSE,0.029747061,0.542207792,0.542207792,167,308,308,?a
?a  hasQuestion  M008_01   , ?a  chosen_Answer_Code  NO_RECORDED_RESPONSE,0.039187745,0.714285714,0.714285714,220,308,308,?a
?a  hasQuestion  UM26_01   , ?a  chosen_Answer_Code  NO_RECORDED_RESPONSE,0.01282508,0.818181818,0.818181818,72,88,88,?a
?a  hasQuestion  M002_01   , ?a  chosen_Answer_Code  10,0.018168864,0.331168831,0.331168831,102,308,308,?a
?a  hasQuestion  M006_01   , ?a  chosen_Answer_Code  10,0.016209476,0.295454545,0.295454545,91,308,308,?a
?a  hasQuestion  M004_01   , ?a  chosen_Answer_Code  10,0.019415746,0.353896104,0.353896104,109,308,308,?a
?a  hasQuestion  M003_01   , ?a  chosen_Answer_Code  10,0.019415746,0.353896104,0.353896104,109,308,308,?a
?a  chosen_Answer_Code  NO_RECORDED_RESPONSE   , ?a  hasQuestion  M007_01,0.029747061,0.14897413,0.14897413,167,1121,1121,?a
?a  chosen_Answer_Code  8   , ?a  hasQuestion  M003_01,0.010331315,0.179012346,0.179012346,58,324,324,?a
?a  chosen_Answer_Code  10   , ?a  hasQuestion  M003_01,0.019415746,0.241150442,0.241150442,109,452,452,?a
?a  chosen_Answer_Code  9   , ?a  hasQuestion  M003_01,0.010865693,0.175287356,0.175287356,61,348,348,?a
?a  chosen_Answer_Code  8   , ?a  hasQuestion  M004_01,0.011400071,0.197530864,0.197530864,64,324,324,?a
?a  chosen_Answer_Code  9   , ?a  hasQuestion  M004_01,0.011043819,0.17816092,0.17816092,62,348,348,?a
?a  chosen_Answer_Code  10   , ?a  hasQuestion  M004_01,0.019415746,0.241150442,0.241150442,109,452,452,?a
?a  chosen_Answer_Code  2   , ?a  hasQuestion  M005,0.016743855,0.412280702,0.412280702,94,228,228,?a
?a  chosen_Answer_Code  1   , ?a  hasQuestion  M005,0.030815818,0.714876033,0.714876033,173,242,242,?a
?a  hasAnswerScale_Type  Nominal   , ?a  type  Answer,0.019463602,1,1,127,127,127,?a
?a  hasAnswerScale_Type  Ordinal   , ?a  type  Answer,0.01532567,1,1,100,100,100,?a
?a  chosen_Answer_Code  10   , ?a  hasQuestion  M006_01,0.016209476,0.201327434,0.201327434,91,452,452,?a
?a  chosen_Answer_Code  9   , ?a  hasQuestion  M006_01,0.014250089,0.229885057,0.229885057,80,348,348,?a
?a  chosen_Answer_Code  8   , ?a  hasQuestion  M006_01,0.01282508,0.222222222,0.222222222,72,324,324,?a
?a  chosen_Answer_Code  8   , ?a  hasQuestion  M010_01,0.010687567,0.185185185,0.185185185,60,324,324,?a
?a  chosen_Answer_Code  9   , ?a  hasQuestion  M010_01,0.014250089,0.229885057,0.229885057,80,348,348,?a
?a  chosen_Answer_Code  8   , ?a  hasQuestion  M002_01,0.012468828,0.216049383,0.216049383,70,324,324,?a
?a  chosen_Answer_Code  10   , ?a  hasQuestion  M002_01,0.018168864,0.225663717,0.225663717,102,452,452,?a
?a  chosen_Answer_Code  9   , ?a  hasQuestion  M002_01,0.011578197,0.186781609,0.186781609,65,348,348,?a
?a  chosen_Answer_Code  NO_RECORDED_RESPONSE   , ?a  hasQuestion  M008_01,0.039187745,0.196253345,0.196253345,220,1121,1121,?a
?a  ResponseCode  8   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  ResponseCode  7   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  ResponseCode  10   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  ResponseCode  3   , ?a  hasAnswerScale_Type  Ordinal,0.054945055,0.375,0.375,15,40,40,?a
