id	rule_index	rule	grounding
999	Rule_67	?d belongsTo SUS ?a hasQuestion ?d => ?a ResponseOnPlatform 1	SU01_02 belongsTo SUS | 326_SU01_02 hasQuestion SU01_02 => 326_SU01_02 ResponseOnPlatform 1
1444	Rule_8	?a chosen_Answer_Code 5 => ?a type Response	345_SU01_09 chosen_Answer_Code 5 => 345_SU01_09 type Response
1187	Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	205_M007_01 hasQuestion M007_01 | M007_01 hasQuestion_Category Preference => 205_M007_01 ResponseOnPlatform 1
886	Rule_61	?a hasQuestion ?d ?d hasQuestion_Category Degree => ?a type Response	265_M002_01 hasQuestion M002_01 | M002_01 hasQuestion_Category Degree => 265_M002_01 type Response
1166	Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	114_M008_01 hasQuestion M008_01 | M008_01 hasQuestion_Category Preference => 114_M008_01 ResponseOnPlatform 1
561	Rule_4	?a chosen_Answer_Code NO_RECORDED_RESPONSE => ?a ResponseOnPlatform 1	216_M004_01 chosen_Answer_Code NO_RECORDED_RESPONSE => 216_M004_01 ResponseOnPlatform 1
481	Rule_3	?a type Response => ?a ResponseOnPlatform 1	282_M006_01 type Response => 282_M006_01 ResponseOnPlatform 1
303	Rule_24	?d hasQuestion_Category Agreement ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	SU01_05 hasQuestion_Category Agreement | 20010505 is_Answer_To SU01_05 => 20010505 hasAnswerScale_Type Ordinal
342	Rule_25	?d hasQuestion_Category Degree ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M004_01 hasQuestion_Category Degree | 10040102 is_Answer_To M004_01 => 10040102 hasAnswerScale_Type Ordinal
244	Rule_18	?a is_Answer_To ?d ?d type Question => ?a hasAnswerScale_Type Nominal	30160003 is_Answer_To UM16 | UM16 type Question => 30160003 hasAnswerScale_Type Nominal
882	Rule_61	?a hasQuestion ?d ?d hasQuestion_Category Degree => ?a type Response	242_M004_01 hasQuestion M004_01 | M004_01 hasQuestion_Category Degree => 242_M004_01 type Response
712	Rule_55	?a hasVisitId ?d ?d type User => ?a type Response	411_UM19 hasVisitId 411 | 411 type User => 411_UM19 type Response
1138	Rule_71	?a hasQuestion ?d ?d type Question => ?a ResponseOnPlatform 1	169_M010_01 hasQuestion M010_01 | M010_01 type Question => 169_M010_01 ResponseOnPlatform 1
1377	Rule_82	?b hasUserId ?f ?a hasVisitId ?f => ?a Response_by_User ?b	179 hasUserId 179 | 179_M004_01 hasVisitId 179 => 179_M004_01 Response_by_User 179
70	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	416_UM15 hasVisitId 416 => 416_UM15 Response_by_User 416
271	Rule_19	?a ResponseCode ?d ?d type User => ?a hasAnswerScale_Type Nominal	30150006 ResponseCode 5 | 5 type User => 30150006 hasAnswerScale_Type Nominal
811	Rule_5	?a chosen_Answer_Code 5 => ?a ResponseOnPlatform 1	395_SU01_04 chosen_Answer_Code 5 => 395_SU01_04 ResponseOnPlatform 1
361	Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M004_01 belongsTo ME1 | 10040107 is_Answer_To M004_01 => 10040107 hasAnswerScale_Type Ordinal
1214	Rule_73	?d belongsTo SUS ?a hasQuestion ?d => ?a type Response	SU01_02 belongsTo SUS | 353_SU01_02 hasQuestion SU01_02 => 353_SU01_02 type Response
51	Rule_10	?a ResponseOnPlatform 1 => ?a type Response	93_M004_01 ResponseOnPlatform 1 => 93_M004_01 type Response
423	Rule_28	?a ResponseCode ?d ?d type User => ?a hasAnswerScale_Type Ordinal	20010605 ResponseCode 5 | 5 type User => 20010605 hasAnswerScale_Type Ordinal
807	Rule_5	?a chosen_Answer_Code 5 => ?a ResponseOnPlatform 1	407_UM17 chosen_Answer_Code 5 => 407_UM17 ResponseOnPlatform 1
184	Rule_16	?d belongsTo uMARS ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM03 belongsTo uMARS | 30030002 is_Answer_To UM03 => 30030002 hasAnswerScale_Type Nominal
745	Rule_56	?a hasQuestion ?d ?d hasQuestion_Category Agreement => ?a ResponseOnPlatform 1	344_SU01_07 hasQuestion SU01_07 | SU01_07 hasQuestion_Category Agreement => 344_SU01_07 ResponseOnPlatform 1
381	Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M006_01 belongsTo ME1 | 10060106 is_Answer_To M006_01 => 10060106 hasAnswerScale_Type Ordinal
1034	Rule_68	?d belongsTo ME1 ?a hasQuestion ?d => ?a type Response	M007_01 belongsTo ME1 | 294_M007_01 hasQuestion M007_01 => 294_M007_01 type Response
1447	Rule_8	?a chosen_Answer_Code 5 => ?a type Response	464_UM16 chosen_Answer_Code 5 => 464_UM16 type Response
1465	Rule_9	?a chosen_Answer_Code 4 => ?a type Response	341_SU01_03 chosen_Answer_Code 4 => 341_SU01_03 type Response
1182	Rule_72	?a hasQuestion ?d ?d hasQuestion_Category Preference => ?a ResponseOnPlatform 1	218_M008_01 hasQuestion M008_01 | M008_01 hasQuestion_Category Preference => 218_M008_01 ResponseOnPlatform 1
701	Rule_55	?a hasVisitId ?d ?d type User => ?a type Response	332_SU01_04 hasVisitId 332 | 332 type User => 332_SU01_04 type Response
203	Rule_16	?d belongsTo uMARS ?a is_Answer_To ?d => ?a hasAnswerScale_Type Nominal	UM13 belongsTo uMARS | 30130005 is_Answer_To UM13 => 30130005 hasAnswerScale_Type Nominal
479	Rule_35	?a label ?f ?b label ?f => ?a hasUserId ?b	166 label Username_166 | 166 label Username_166 => 166 hasUserId 166
812	Rule_5	?a chosen_Answer_Code 5 => ?a ResponseOnPlatform 1	481_UM10 chosen_Answer_Code 5 => 481_UM10 ResponseOnPlatform 1
997	Rule_67	?d belongsTo SUS ?a hasQuestion ?d => ?a ResponseOnPlatform 1	SU01_02 belongsTo SUS | 376_SU01_02 hasQuestion SU01_02 => 376_SU01_02 ResponseOnPlatform 1
903	Rule_62	?d belongsTo ME1 ?a hasQuestion ?d => ?a ResponseOnPlatform 1	M007_01 belongsTo ME1 | 82_M007_01 hasQuestion M007_01 => 82_M007_01 ResponseOnPlatform 1
904	Rule_62	?d belongsTo ME1 ?a hasQuestion ?d => ?a ResponseOnPlatform 1	M007_01 belongsTo ME1 | 100_M007_01 hasQuestion M007_01 => 100_M007_01 ResponseOnPlatform 1
316	Rule_24	?d hasQuestion_Category Agreement ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	SU01_01 hasQuestion_Category Agreement | 20010101 is_Answer_To SU01_01 => 20010101 hasAnswerScale_Type Ordinal
1397	Rule_82	?b hasUserId ?f ?a hasVisitId ?f => ?a Response_by_User ?b	407 hasUserId 407 | 407_UM21 hasVisitId 407 => 407_UM21 Response_by_User 407
426	Rule_28	?a ResponseCode ?d ?d type User => ?a hasAnswerScale_Type Ordinal	10060103 ResponseCode 3 | 3 type User => 10060103 hasAnswerScale_Type Ordinal
76	Rule_11	?a hasVisitId ?b => ?a Response_by_User ?b	484_UM14 hasVisitId 484 => 484_UM14 Response_by_User 484
588	Rule_50	?a hasQuestion ?d ?d hasQuestion_Category Quality => ?a ResponseOnPlatform 1	430_UM10 hasQuestion UM10 | UM10 hasQuestion_Category Quality => 430_UM10 ResponseOnPlatform 1
772	Rule_57	?a Response_by_User ?d ?d type User => ?a ResponseOnPlatform 1	6_M008_01 Response_by_User 6 | 6 type User => 6_M008_01 ResponseOnPlatform 1
889	Rule_61	?a hasQuestion ?d ?d hasQuestion_Category Degree => ?a type Response	181_M003_01 hasQuestion M003_01 | M003_01 hasQuestion_Category Degree => 181_M003_01 type Response
1073	Rule_69	?a hasQuestion ?d ?d hasQuestion_Category Agreement => ?a type Response	344_SU01_07 hasQuestion SU01_07 | SU01_07 hasQuestion_Category Agreement => 344_SU01_07 type Response
1283	Rule_75	?a chosen_Answer_Code ?d ?d type User => ?a ResponseOnPlatform 1	444_UM18 chosen_Answer_Code 5 | 5 type User => 444_UM18 ResponseOnPlatform 1
351	Rule_25	?d hasQuestion_Category Degree ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M003_01 hasQuestion_Category Degree | 10030104 is_Answer_To M003_01 => 10030104 hasAnswerScale_Type Ordinal
