Prompt,input_text,output_text,Label,has_rule_context,is_connected
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
423 UM19 has chosen Answer Code with string. Does 423 UM19 have hasQuestion with 488 UM03?

###Response:
423 UM19 has chosen Answer Code with string. The answer is no.",423 UM19 has chosen Answer Code with string. Does 423 UM19 have hasQuestion with 488 UM03?,423 UM19 has chosen Answer Code with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
451 UM06 has ResponseOnPlatform with 1. 1 has label with string. Does 451 UM06 have chosen Answer Code with 466 UM25?

###Response:
451 UM06 has ResponseOnPlatform with 1. 1 has label with string. The answer is no.",451 UM06 has ResponseOnPlatform with 1. 1 has label with string. Does 451 UM06 have chosen Answer Code with 466 UM25?,451 UM06 has ResponseOnPlatform with 1. 1 has label with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
390 SU01 10 has Response by User with 390. Does 390 SU01 10 have chosen Answer Code with 151 M002 01?

###Response:
390 SU01 10 has Response by User with 390. The answer is no.",390 SU01 10 has Response by User with 390. Does 390 SU01 10 have chosen Answer Code with 151 M002 01?,390 SU01 10 has Response by User with 390. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
248 M004 01 has hasQuestion with M004 01. M004 01 has belongsTo with ME1. Does 248 M004 01 have ResponseOnPlatform with 409 UM06?

###Response:
248 M004 01 has hasQuestion with M004 01. M004 01 has belongsTo with ME1. The answer is no.",248 M004 01 has hasQuestion with M004 01. M004 01 has belongsTo with ME1. Does 248 M004 01 have ResponseOnPlatform with 409 UM06?,248 M004 01 has hasQuestion with M004 01. M004 01 has belongsTo with ME1. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
427 UM01 has hasQuestion with UM01. UM01 has hasQuestion Category with Quality. Quality has comment with ""Quality. Does 427 UM01 have hasQuestion with 23 M002 01?

###Response:
427 UM01 has hasQuestion with UM01. UM01 has hasQuestion Category with Quality. Quality has comment with ""Quality. The answer is no.","427 UM01 has hasQuestion with UM01. UM01 has hasQuestion Category with Quality. Quality has comment with ""Quality. Does 427 UM01 have hasQuestion with 23 M002 01?","427 UM01 has hasQuestion with UM01. UM01 has hasQuestion Category with Quality. Quality has comment with ""Quality. The answer is no.",0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
61 M010 01 has hasVisitId with string. Does 61 M010 01 have Response by User with 404 UM04?

###Response:
61 M010 01 has hasVisitId with string. The answer is no.",61 M010 01 has hasVisitId with string. Does 61 M010 01 have Response by User with 404 UM04?,61 M010 01 has hasVisitId with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
128 M007 01 has ResponseOnPlatform with 1. Does 128 M007 01 have hasVisitId with M004 01?

###Response:
128 M007 01 has ResponseOnPlatform with 1. The answer is no.",128 M007 01 has ResponseOnPlatform with 1. Does 128 M007 01 have hasVisitId with M004 01?,128 M007 01 has ResponseOnPlatform with 1. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
406 UM20 has ResponseOnPlatform with 1. Does 406 UM20 have hasQuestion with ""Besonders?

###Response:
406 UM20 has ResponseOnPlatform with 1. The answer is no.","406 UM20 has ResponseOnPlatform with 1. Does 406 UM20 have hasQuestion with ""Besonders?",406 UM20 has ResponseOnPlatform with 1. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
130 M003 01 has chosen Answer Code with string. Does 130 M003 01 have Response by User with 340 SU01 09?

###Response:
130 M003 01 has chosen Answer Code with string. The answer is no.",130 M003 01 has chosen Answer Code with string. Does 130 M003 01 have Response by User with 340 SU01 09?,130 M003 01 has chosen Answer Code with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
22 M003 01 has chosen Answer Code with string. Does 22 M003 01 have hasQuestion with 130 M002 01?

###Response:
22 M003 01 has chosen Answer Code with string. The answer is no.",22 M003 01 has chosen Answer Code with string. Does 22 M003 01 have hasQuestion with 130 M002 01?,22 M003 01 has chosen Answer Code with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
213 M007 01 has ResponseOnPlatform with 1. 1 has label with string. Does 213 M007 01 have hasVisitId with 421 UM11?

###Response:
213 M007 01 has ResponseOnPlatform with 1. 1 has label with string. The answer is no.",213 M007 01 has ResponseOnPlatform with 1. 1 has label with string. Does 213 M007 01 have hasVisitId with 421 UM11?,213 M007 01 has ResponseOnPlatform with 1. 1 has label with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
420 UM25 has hasVisitId with string. Does 420 UM25 have type with 77 M003 01?

###Response:
420 UM25 has hasVisitId with string. The answer is no.",420 UM25 has hasVisitId with string. Does 420 UM25 have type with 77 M003 01?,420 UM25 has hasVisitId with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
46 M002 01 has hasVisitId with string. Does 46 M002 01 have ResponseOnPlatform with 237 M008 01?

###Response:
46 M002 01 has hasVisitId with string. The answer is no.",46 M002 01 has hasVisitId with string. Does 46 M002 01 have ResponseOnPlatform with 237 M008 01?,46 M002 01 has hasVisitId with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
352 SU01 08 has hasVisitId with string. Does 352 SU01 08 have ResponseOnPlatform with 491 UM14?

###Response:
352 SU01 08 has hasVisitId with string. The answer is no.",352 SU01 08 has hasVisitId with string. Does 352 SU01 08 have ResponseOnPlatform with 491 UM14?,352 SU01 08 has hasVisitId with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
481 UM19 has hasQuestion with UM19. UM19 has belongsTo with uMARS. uMARS has label with string. Does 481 UM19 have ResponseOnPlatform with 28 M004 01?

###Response:
481 UM19 has hasQuestion with UM19. UM19 has belongsTo with uMARS. uMARS has label with string. The answer is no.",481 UM19 has hasQuestion with UM19. UM19 has belongsTo with uMARS. uMARS has label with string. Does 481 UM19 have ResponseOnPlatform with 28 M004 01?,481 UM19 has hasQuestion with UM19. UM19 has belongsTo with uMARS. uMARS has label with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
483 UM14 has Response by User with 483. Does 483 UM14 have Response by User with 48 M002 01?

###Response:
483 UM14 has Response by User with 483. The answer is no.",483 UM14 has Response by User with 483. Does 483 UM14 have Response by User with 48 M002 01?,483 UM14 has Response by User with 483. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
338 SU01 08 has hasVisitId with string. Does 338 SU01 08 have Response by User with 156?

###Response:
338 SU01 08 has hasVisitId with string. The answer is no.",338 SU01 08 has hasVisitId with string. Does 338 SU01 08 have Response by User with 156?,338 SU01 08 has hasVisitId with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
190 M002 01 has chosen Answer Code with string. Does 190 M002 01 have Response by User with 54 M007 01?

###Response:
190 M002 01 has chosen Answer Code with string. The answer is no.",190 M002 01 has chosen Answer Code with string. Does 190 M002 01 have Response by User with 54 M007 01?,190 M002 01 has chosen Answer Code with string. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
23 M005 has hasQuestion with M005. M005 has type with Question. Does 23 M005 have ResponseOnPlatform with ""Gefallen?

###Response:
23 M005 has hasQuestion with M005. M005 has type with Question. The answer is no.","23 M005 has hasQuestion with M005. M005 has type with Question. Does 23 M005 have ResponseOnPlatform with ""Gefallen?",23 M005 has hasQuestion with M005. M005 has type with Question. The answer is no.,0,False,False
"###Instruction:
Answer the following yes/no question by reasoning step-by-step.

###Input:
163 M005 has Response by User with 163. 163 has type with User. Does 163 M005 have hasVisitId with 98?

###Response:
163 M005 has Response by User with 163. 163 has type with User. The answer is no.",163 M005 has Response by User with 163. 163 has type with User. Does 163 M005 have hasVisitId with 98?,163 M005 has Response by User with 163. 163 has type with User. The answer is no.,0,False,False
