mention_id,semantic_unit_id,mention_index,surface_form,char_start,char_end,ner_label,predicted_cui,predicted_score,predicted_canonical_name,label_status,gold_status
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m0,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,0,Gerätekategorie | Patientenstatus,2,35,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m1,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,1,Geräteeinstellungen,38,57,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m2,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,2,Umprogrammierung prä,85,105,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m3,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,3,MRT,106,109,ENTITY,C2949870,0.9783060550689697,Medial rostrotemporal auditory cortex,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m4,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,4,Rückprogrammierung post,112,135,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m5,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,5,MRT,136,139,ENTITY,C2949870,0.9783060550689697,Medial rostrotemporal auditory cortex,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m6,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,6,HSM,146,149,ENTITY,C1537594,0.9596827030181885,LRRC4B gene,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m7,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,7,konventionell,151,164,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m8,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,8,Absolut HSM-abhängig | D00,167,193,ENTITY,,,,predicted_umls_link,not_human_gold
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m9,lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001,9,und zeitversetzt,216,232,ENTITY,,,,predicted_umls_link,not_human_gold
