235_M006_01	hasVisitId	235
284_M010_01	ResponseOnPlatform	1
406_UM18	hasQuestion	UM18
71_M004_01	chosen_Answer_Code	10
360_SU01_07	type	Response
302_M005	Response_by_User	302
60_M007_01	chosen_Answer_Code	NO_RECORDED_RESPONSE
338_SU01_01	hasQuestion	SU01_01
30170004	hasAnswerId	30170004
448_UM19	Response_by_User	448
248_M003_01	hasVisitId	248
407_UM17	chosen_Answer_Code	5
97	label	Username_97
368_SU01_07	hasVisitId	368
313_SU01_04	Response_by_User	313
332_SU01_07	hasVisitId	332
169_M010_01	hasQuestion	M010_01
153_M003_01	chosen_Answer_Code	NO_RECORDED_RESPONSE
436_UM18	chosen_Answer_Code	NO_RECORDED_RESPONSE
41_M002_01	hasQuestion	M002_01
330_SU01_03	chosen_Answer_Code	5
269_M010_01	Response_by_User	269
199_M004_01	chosen_Answer_Code	NO_RECORDED_RESPONSE
119_M006_01	chosen_Answer_Code	8
409_UM13	chosen_Answer_Code	5
10040106	ResponseLabel	[6]
410_UM12	ResponseOnPlatform	1
438_UM24	Response_by_User	438
191_M003_01	chosen_Answer_Code	8
443_UM01	Response_by_User	443
388	type	User
458_UM20	Response_by_User	458
419_UM03	Response_by_User	419
408_UM13	Response_by_User	408
307_M003_01	chosen_Answer_Code	10
178_M003_01	hasVisitId	178
398_SU01_08	hasVisitId	398
155_M005	Response_by_User	155
282_M006_01	type	Response
470_UM18	ResponseOnPlatform	1
192_M006_01	chosen_Answer_Code	6
114_M008_01	hasQuestion	M008_01
78_M005	hasQuestion	M005
124_M008_01	type	Response
289_M005	Response_by_User	289
337_SU01_10	ResponseOnPlatform	1
422_UM13	ResponseOnPlatform	1
71_M004_01	hasVisitId	71
416_UM07	Response_by_User	416
390_SU01_01	hasQuestion	SU01_01
428_UM03	hasQuestion	UM03
474_UM07	hasQuestion	UM07
184_M006_01	chosen_Answer_Code	10
471_UM13	type	Response
456_UM17	hasVisitId	456
46_M003_01	chosen_Answer_Code	10
435_UM12	type	Response
204_M008_01	type	Response
107_M006_01	type	Response
116_M007_01	ResponseOnPlatform	1
12_M002_01	chosen_Answer_Code	6
458_UM25	ResponseOnPlatform	1
224	label	Username_224
445_UM25	hasVisitId	445
64_M002_01	hasQuestion	M002_01
